id,username,text,post,timestamp
C001,user_kim,예약은 어떻게 하나요? 가격도 알고 싶어요,펌 시술 결과,2026-06-01 10:23
C002,beauty_lover,너무 예쁘다!! 어디 살롱이에요 😍,염색 후기,2026-06-01 10:45
C003,angry_user99,지난번에 시술 후 모발이 너무 손상됐어요 환불 원합니다,클리닉 후기,2026-06-01 11:02
C004,curious_jy,이 색상 이름이 뭔가요? 저도 하고 싶어요,애쉬 브라운 염색,2026-06-01 11:15
C005,spam_account,팔로우 해주시면 맞팔할게요 http://spam.link,펌 시술 결과,2026-06-01 11:30
C006,regular_customer,오늘도 잘 부탁드려요 ❤️,오늘의 예약,2026-06-01 12:00
C007,new_follower,상담 신청하고 싶은데 연락처 알 수 있을까요,두피케어 소개,2026-06-01 12:30
C008,happy_mom,정말 최고예요! 항상 만족합니다 👍,클리닉 결과,2026-06-01 13:00
C009,concerned_user,예약 취소는 어떻게 하나요?,예약 안내,2026-06-01 13:15
C010,style_fan,이런 스타일 저도 할 수 있을까요? 추천해주세요,레이어드 컷,2026-06-01 14:00
